Date,Update,Couva,Couva ICU,Couva HDU,Caura,Brooklyn,Balandra,Tacarigua,UWI Debe ,UWI STA,NAPA,UWI Canada Hall,UWI Freedom Hall
2020-08-20,408,93,3,1,50,19,31,40,60,81,6,,
2020-08-21,410,95,3,3,47,18,24,34,46,81,6,,
2020-08-23,414,107,6,3,59,28,22,35,53,135,6,,
2020-08-24,416,102,6,5,76,23,22,36,53,44,11,126,
2020-08-25,418,111,5,8,66,31,31,35,54,,11,126,68
2020-08-26,420,108,5,9,63,37,37,40,53,,14,133,66
2020-08-27,422,104,6,8,14,2,2,1,3,,4,1,3
2020-08-28,424,85,5,10,14,2,2,2,3,,3,0,0
2020-08-29,426,63,6,10,13,2,2,2,3,,3,0,0
