YEAR,MONTH,DATE,LOCAL,INTERNATIONAL,NO. OF PREPAID CARDS,ATMVOLUME,ATMVALUE_TTM,POSVOLUME,POSVALUE_TTM
2019,11,Nov-19,631012,13213,23233,2787385,2134,3821850,1133
2019,12,Dec-19,744335,13870,28507,2725633,2251,4961211,1641
2020,1,Jan-20,629789,14015,18599,2770618,2173,3629691,1057
2020,2,Feb-20,630272,13786,14881,2644291,2046,3532304,1000
2020,3,Mar-20,626076,13953,15110,2641122,2084,3542402,1123
2020,4,Apr-20,518226,12811,14935,1632949,1414,2057489,708
2020,5,May-20,570044,13476,16553,2037019,1771,2712775,909
2020,6,Jun-20,618231,14068,30075,2311385,1946,3341399,1102
2020,7,Jul-20,640667,14762,10977,2593201,2158,3651098,1170
2020,8,Aug-20,630091,15068,48285,2469561,2072,3386246,1111
2020,9,Sep-20,638711,7994,25029,2291805,2005,3207766,1048
2020,10,Oct-20,741454,9908,36090,2442592,1979,3457358,1136
2020,11,Nov-20,635292,9661,25559,2423148,2069,3476611,1172
